system,seed,case_id,group,decision_type,top1,nll
simple,1,general_09#47,test_iid,location,1,0.3786
simple,1,general_09#50,test_iid,action,1,0.0588
simple,1,general_09#84,test_iid,location,0,1.41
simple,1,general_09#96,test_iid,action,1,0.3476
simple,1,general_09#100,test_iid,location,0,1.2101
simple,1,general_10#88,test_iid,location,0,0.8472
simple,1,general_10#99,test_iid,location,1,0.0749
simple,1,general_11#6,test_iid,action,1,0.0641
simple,1,general_11#23,test_iid,action,1,0.4666
simple,1,general_11#68,test_iid,action,1,0.1254
simple,1,general_11#73,test_iid,action,1,0.3268
simple,1,general_11#78,test_iid,location,1,0.3381
simple,1,general_11#79,test_iid,action,1,0.5705
simple,1,general_11#92,test_iid,action,1,0.8813
simple,1,general_11#93,test_iid,location,1,0.2348
simple,1,general_12#4,test_iid,action,1,0.1879
simple,1,general_12#61,test_iid,action,0,1.417
simple,1,general_12#75,test_iid,location,1,0.0099
simple,1,general_12#82,test_iid,location,1,0.0724
simple,1,general_12#93,test_iid,action,1,0.2399
simple,1,general_13#37,test_iid,action,0,1.238
simple,1,general_13#40,test_iid,action,0,1.2618
simple,1,general_13#48,test_iid,action,1,0.0687
simple,1,general_13#66,test_iid,action,1,0.296
simple,1,general_13#73,test_iid,location,1,0.0826
simple,1,general_14#5,test_iid,action,0,1.5249
