split,model,ablation,n_train,eval_split,decision_type,n_cases,n_seeds,kl_mean,kl_std,jsd_mean,jsd_std,top1_mean,top1_std
S0,simple,full,1000,S0,all,5000,5,0.06795584417786124,5.661694370281189e-05,0.018408358135590844,1.630360802649069e-05,0.6506000000000001,0.0008000000000000021
S0,simple,full,1000,S0,location,2521,5,0.07638590223471016,5.315322363787116e-05,0.0205996565359964,1.4937449679350218e-05,0.6213407378024594,0.0014466150360024164
S0,simple,full,20000,S0,action,2479,5,0.037567363239010415,3.119046675940402e-05,0.009866303453661088,7.977734925050563e-06,0.8400161355385236,0.002413598273763896
S0,simple,full,20000,S0,all,5000,5,0.047681328433043374,2.86123563848551e-05,0.012409195551702768,1.1678880115161591e-05,0.82448,0.0016468151080191026
S0,simple,full,20000,S0,location,2521,5,0.057626794405279666,3.728700376399694e-05,0.014909722926175328,1.7245749977597286e-05,0.8092026973423245,0.0013451665972085095
S0,simple,full,5000,S0,action,2479,5,0.039509289585522425,2.276379369043471e-05,0.010480067851336627,7.156069421331971e-06,0.8067769261799113,0.0014544377876014628
S0,simple,full,5000,S0,all,5000,5,0.049574099028798245,9.160652320683894e-06,0.01299154263134603,2.7457600138284378e-06,0.7891999999999999,0.0007348469228349631
S0,simple,full,5000,S0,location,2521,5,0.059471228187814806,2.210900346663574e-05,0.015461176102049445,5.774722351433836e-06,0.7719159063863547,0.00079333597778658
S0,simple,full,None,G1,action,2482,5,0.05205792409343132,0.0002749097107086045,0.013713534480499686,4.699909399530304e-05,0.8999194198227236,0.0011607461958813854
S0,simple,full,None,G1,all,5000,5,0.05631873863566628,0.00026953950745304335,0.014744118571128426,4.9520071528985826e-05,0.8762399999999999,0.0011349008767288888
S0,simple,full,None,G1,location,2518,5,0.06051863605180099,0.00030255395564483405,0.015759968337983283,6.66133697466354e-05,0.8528991262907069,0.0016518375173221334
S0,simple,full,None,G2,all,5000,5,0.052489769909955374,7.196695426561149e-05,0.013691936435337653,2.757018129700634e-05,0.82388,0.003074410512602372
S0,simple,full,None,G2,location,5000,5,0.052489769909955374,7.196695426561149e-05,0.013691936435337653,2.757018129700634e-05,0.82388,0.003074410512602372
S0,simple,full,None,G3,all,5000,5,0.044508914623502004,2.6330374828300834e-05,0.011591569935835985,1.111223946149786e-05,0.83324,0.003798420724459032
S0,simple,full,None,G3,location,5000,5,0.044508914623502004,2.6330374828300834e-05,0.011591569935835985,1.111223946149786e-05,0.83324,0.003798420724459032
S0,simple,full,None,G4,action,2500,5,0.03171739647737239,0.00021698532604445375,0.007962660129749614,4.7481395560580074e-05,0.8436,0.003072458299147455
S0,simple,full,None,G4,all,5000,5,0.05171703271698521,0.00014118595804796824,0.012857266534970033,3.455486309148254e-05,0.81448,0.002748090245970822
S0,simple,full,None,G4,location,2500,5,0.07171666895659803,0.0003420693388561242,0.01775187294019045,7.22061215448375e-05,0.7853600000000001,0.003904868755797055
